valence,arousal
0.738,0.748
0.738,0.749
0.736,0.751
0.739,0.76
0.738,0.775
0.741,0.783
0.741,0.786
0.74,0.792
0.74,0.792
0.741,0.801
0.741,0.812
0.742,0.821
0.742,0.828
0.754,0.828
0.763,0.841
0.784,0.847
0.795,0.855
0.823,0.882
0.828,0.886
0.838,0.885
0.844,0.884
0.845,0.883
0.844,0.882
0.845,0.88
0.841,0.879
0.843,0.878
0.839,0.878
0.838,0.876
0.835,0.876
0.824,0.877
0.824,0.882
0.773,0.884
0.75,0.936
0.747,0.957
0.749,0.983
0.76,1.0
0.765,1.0
0.915,1.0
0.958,1.0
0.989,1.0
0.992,1.0
0.993,1.0
0.993,1.0
0.995,1.0
0.995,1.0
0.992,1.0
0.99,1.0
0.987,1.0
0.975,1.0
0.962,1.0
0.927,1.0
0.914,1.0
0.901,0.993
0.888,0.97
0.865,0.944
0.822,0.933
0.823,0.905
0.829,0.898
0.832,0.889
0.845,0.884
0.873,0.877
0.975,0.874
1.0,0.875
1.0,0.878
1.0,0.883
1.0,0.89
1.0,0.893
1.0,0.893
1.0,0.939
1.0,0.963
1.0,0.965
1.0,0.963
0.939,0.95
0.89,0.901
0.854,0.854
0.85,0.762
0.834,0.661
0.816,0.587
0.811,0.484
0.801,0.437
0.8,0.431
0.786,0.431
0.767,0.413
0.715,0.407
0.704,0.387
0.703,0.372
0.708,0.366
0.707,0.368
0.706,0.373
0.708,0.374
0.708,0.376
0.706,0.378
0.696,0.378
0.674,0.381
0.629,0.381
0.593,0.383
0.557,0.385
0.553,0.385
0.552,0.387
0.552,0.387
0.552,0.386
0.552,0.387
0.537,0.387
0.53,0.387
0.531,0.387
0.529,0.387
0.532,0.388
0.539,0.387
0.546,0.389
0.591,0.389
0.622,0.389
0.687,0.389
0.699,0.389
0.7,0.389
0.7,0.389
0.7,0.389
0.7,0.389
0.7,0.388
0.7,0.389
0.7,0.388
0.7,0.389
0.7,0.388
0.702,0.388
0.704,0.389
0.725,0.389
0.743,0.388
0.75,0.389
0.751,0.394
0.75,0.432
0.751,0.452
0.751,0.453
0.751,0.452
0.751,0.454
0.752,0.491
0.753,0.495
0.753,0.498
0.753,0.498
0.747,0.495
0.738,0.492
0.737,0.489
0.678,0.488
0.64,0.491
0.642,0.503
0.642,0.542
0.641,0.544
0.64,0.578
0.633,0.61
0.618,0.615
0.591,0.619
0.588,0.638
0.589,0.644
0.593,0.651
0.595,0.706
0.602,0.719
0.604,0.719
0.636,0.718
0.653,0.718
0.654,0.708
0.654,0.704
0.657,0.703
0.659,0.702
0.662,0.702
0.689,0.702
0.714,0.702
0.721,0.702
0.723,0.702
0.721,0.702
0.722,0.702
0.723,0.701
0.726,0.702
0.726,0.702
0.73,0.698
0.73,0.632
0.729,0.582
0.725,0.579
0.718,0.584
0.717,0.592
0.705,0.597
0.692,0.598
0.67,0.597
0.658,0.598
0.635,0.598
0.626,0.588
0.595,0.576
0.533,0.545
0.48,0.523
0.442,0.52
0.431,0.5
0.411,0.468
0.406,0.443
0.398,0.434
0.396,0.413
0.396,0.407
0.396,0.398
0.398,0.397
0.396,0.396
0.397,0.394
0.397,0.394
0.394,0.394
0.379,0.392
0.35,0.39
0.346,0.388
0.344,0.389
0.344,0.391
0.336,0.39
0.33,0.392
0.311,0.392
0.301,0.391
0.287,0.387
0.274,0.383
0.274,0.384
0.27,0.385
0.274,0.387
0.272,0.39
0.274,0.392
0.274,0.398
0.274,0.401
0.274,0.403
0.268,0.403
0.255,0.403
0.255,0.403
0.249,0.403
0.238,0.403
0.215,0.403
0.208,0.403
0.205,0.403
0.199,0.404
0.197,0.404
0.193,0.405
0.187,0.405
0.181,0.405
0.178,0.405
0.18,0.405
0.18,0.405
0.179,0.405
0.179,0.405
0.18,0.405
0.179,0.405
0.178,0.405
0.178,0.405
0.179,0.405
0.18,0.405
0.18,0.405
0.18,0.405
0.18,0.405
0.18,0.405
0.182,0.406
0.182,0.406
0.182,0.406
0.182,0.405
0.182,0.405
0.182,0.406
0.182,0.405
0.182,0.405
0.182,0.405
0.182,0.405
0.182,0.406
0.182,0.405
0.183,0.406
0.182,0.406
0.182,0.405
0.182,0.405
0.182,0.405
0.182,0.405
0.182,0.405
0.182,0.406
0.182,0.406
0.182,0.406
0.182,0.405
0.182,0.406
0.182,0.406
0.182,0.406
0.183,0.407
0.182,0.405
0.183,0.406
0.183,0.406
0.183,0.406
0.183,0.406
0.183,0.406
0.184,0.407
0.184,0.405
0.183,0.406
0.183,0.406
0.184,0.406
0.184,0.407
0.184,0.407
0.184,0.406
0.184,0.407
0.185,0.407
0.184,0.406
0.184,0.406
0.184,0.407
0.184,0.402
0.184,0.401
0.185,0.402
0.184,0.4
0.184,0.398
0.185,0.396
0.186,0.395
0.186,0.396
0.185,0.394
0.186,0.395
0.186,0.396
0.185,0.397
0.186,0.396
0.184,0.396
0.186,0.397
0.185,0.397
0.185,0.397
0.186,0.398
0.184,0.398
0.18,0.398
0.178,0.396
0.161,0.394
0.16,0.39
0.161,0.39
0.167,0.392
0.17,0.392
0.172,0.394
0.18,0.393
0.18,0.393
0.18,0.393
0.184,0.394
0.188,0.394
0.194,0.395
0.2,0.394
0.2,0.394
0.203,0.396
0.206,0.395
0.218,0.399
0.22,0.403
0.236,0.403
0.244,0.404
0.246,0.405
0.253,0.405
0.254,0.405
0.252,0.406
0.259,0.405
0.274,0.406
0.297,0.406
0.305,0.405
0.31,0.405
0.311,0.406
0.313,0.405
0.317,0.405
0.319,0.405
0.326,0.406
0.326,0.406
0.323,0.406
0.316,0.406
0.302,0.406
0.303,0.406
0.295,0.406
0.296,0.406
0.3,0.406
0.3,0.406
0.327,0.405
0.362,0.406
0.369,0.406
0.369,0.399
0.37,0.383
0.379,0.37
0.382,0.353
0.396,0.342
0.405,0.33
0.408,0.334
0.41,0.331
0.409,0.333
0.408,0.332
0.401,0.33
0.396,0.329
0.388,0.328
0.368,0.33
0.355,0.33
0.346,0.33
0.341,0.33
0.317,0.332
0.293,0.33
0.288,0.332
0.27,0.325
0.263,0.317
0.246,0.29
0.236,0.263
0.236,0.239
0.227,0.236
0.214,0.234
0.214,0.233
0.205,0.233
0.199,0.231
0.197,0.231
0.195,0.223
0.193,0.223
0.19,0.222
0.188,0.214
0.189,0.207
0.188,0.208
0.182,0.208
0.165,0.203
0.139,0.2
0.135,0.196
0.135,0.195
0.137,0.193
0.141,0.193
0.143,0.194
0.149,0.191
0.15,0.185
0.15,0.18
0.151,0.176
0.151,0.161
0.152,0.162
0.166,0.163
0.196,0.167
0.281,0.173
0.327,0.18
0.327,0.181
0.327,0.181
0.327,0.181
0.322,0.181
0.313,0.181
0.306,0.182
0.304,0.181
0.298,0.178
0.295,0.176
0.294,0.174
0.294,0.172
0.294,0.167
0.261,0.159
0.183,0.155
0.162,0.152
0.152,0.153
0.152,0.152
0.157,0.15
0.163,0.152
0.165,0.152
0.165,0.151
0.168,0.152
0.168,0.152
0.167,0.151
0.169,0.152
0.169,0.154
0.169,0.152
0.169,0.154
0.169,0.154
0.169,0.154
0.169,0.155
0.179,0.157
0.191,0.165
0.251,0.168
0.276,0.171
0.276,0.173
0.275,0.173
0.273,0.173
0.272,0.173
0.272,0.173
0.273,0.173
0.297,0.197
0.302,0.218
0.303,0.217
0.3,0.214
0.293,0.215
0.283,0.214
0.282,0.211
0.283,0.204
0.281,0.201
0.273,0.201
0.257,0.201
0.237,0.201
0.225,0.201
0.22,0.202
0.222,0.208
0.22,0.233
0.206,0.27
0.197,0.275
0.198,0.281
0.197,0.283
0.191,0.286
0.186,0.287
0.189,0.286
0.188,0.286
0.188,0.287
0.188,0.28
0.19,0.266
0.192,0.263
0.192,0.263
0.188,0.262
0.16,0.255
0.144,0.237
0.142,0.228
0.15,0.228
0.154,0.229
0.161,0.235
0.285,0.238
0.363,0.239
0.364,0.238
0.365,0.242
0.364,0.246
0.364,0.246
0.364,0.255
0.366,0.308
0.366,0.322
0.365,0.33
0.364,0.33
0.36,0.317
0.351,0.31
0.35,0.309
0.351,0.284
0.345,0.25
0.326,0.245
0.325,0.259
0.328,0.265
0.342,0.341
0.349,0.424
0.445,0.45
0.466,0.513
0.471,0.528
0.47,0.554
0.471,0.604
0.473,0.612
0.478,0.612
0.486,0.618
0.501,0.631
0.548,0.654
0.55,0.661
0.544,0.664
0.539,0.661
0.531,0.643
0.502,0.578
0.501,0.522
0.513,0.465
0.527,0.465
0.534,0.482
0.61,0.516
0.621,0.604
0.623,0.627
0.621,0.658
0.627,0.691
