valence,arousal
0.843,0.685
0.866,0.685
0.866,0.685
0.866,0.701
0.906,0.701
0.906,0.724
0.91,0.724
0.922,0.724
0.922,0.74
0.922,0.764
0.945,0.78
0.945,0.791
0.945,0.803
0.961,0.803
0.961,0.809
0.961,0.821
0.961,0.843
0.985,0.866
0.993,0.866
1.0,0.866
1.0,0.866
1.0,0.785
1.0,0.724
1.0,0.661
1.0,0.645
1.0,0.606
1.0,0.606
0.961,0.606
0.945,0.606
0.922,0.606
0.866,0.606
0.866,0.606
0.866,0.606
0.649,0.594
0.649,0.582
0.649,0.559
0.614,0.531
0.6,0.503
0.559,0.503
0.543,0.503
0.543,0.503
0.537,0.503
0.519,0.503
0.519,0.503
0.519,0.503
0.515,0.503
0.503,0.503
0.503,0.503
0.503,0.503
0.551,0.537
0.618,0.622
0.732,0.661
0.768,0.724
0.91,0.776
0.949,0.835
0.961,0.866
1.0,0.882
1.0,0.882
1.0,0.882
1.0,0.894
1.0,0.882
1.0,0.882
1.0,0.882
1.0,0.882
1.0,0.882
1.0,0.882
0.973,0.843
0.945,0.843
0.922,0.827
0.906,0.803
0.906,0.803
0.906,0.803
0.906,0.78
0.906,0.764
0.9,0.764
0.906,0.764
0.906,0.74
0.9,0.724
0.882,0.701
0.866,0.685
0.843,0.673
0.803,0.649
0.78,0.645
0.74,0.606
0.724,0.588
0.724,0.588
0.724,0.588
0.685,0.582
0.661,0.582
0.661,0.6
0.645,0.588
0.606,0.582
0.606,0.606
0.582,0.606
0.582,0.6
0.582,0.588
0.582,0.594
0.594,0.606
0.582,0.594
0.582,0.606
0.582,0.594
0.582,0.606
0.582,0.594
0.582,0.582
0.582,0.6
0.582,0.6
0.588,0.588
0.582,0.606
0.582,0.606
0.582,0.6
0.582,0.588
0.582,0.588
0.582,0.582
0.622,0.559
0.645,0.559
0.645,0.543
0.661,0.519
0.661,0.519
0.661,0.503
0.661,0.503
0.661,0.497
0.661,0.503
0.661,0.503
0.661,0.48
0.661,0.48
0.632,0.48
0.632,0.48
0.606,0.464
0.559,0.44
0.559,0.44
0.543,0.407
0.543,0.401
0.543,0.385
0.519,0.385
0.519,0.385
0.519,0.385
0.519,0.385
0.519,0.385
0.519,0.385
0.519,0.385
0.519,0.385
0.519,0.385
0.519,0.385
0.519,0.385
0.525,0.385
0.525,0.385
0.519,0.385
0.519,0.385
0.519,0.385
0.519,0.385
0.519,0.385
0.519,0.385
0.503,0.385
0.503,0.385
0.48,0.385
0.464,0.385
0.464,0.385
0.464,0.401
0.464,0.44
0.464,0.44
0.464,0.44
0.464,0.44
0.464,0.44
0.464,0.44
0.464,0.44
0.428,0.44
0.385,0.44
0.338,0.35
0.322,0.282
0.322,0.243
0.322,0.219
0.322,0.219
0.322,0.219
0.322,0.204
0.322,0.204
0.298,0.204
0.231,0.204
0.18,0.204
0.164,0.204
0.164,0.204
0.164,0.204
0.164,0.204
0.164,0.204
0.219,0.186
0.243,0.192
0.243,0.18
0.282,0.186
0.298,0.186
0.338,0.186
0.338,0.18
0.401,0.18
0.401,0.192
0.401,0.204
0.401,0.18
0.401,0.192
0.401,0.18
0.401,0.18
0.391,0.204
0.361,0.251
0.355,0.282
0.361,0.322
0.361,0.322
0.338,0.33
0.428,0.361
0.48,0.361
0.503,0.44
0.519,0.503
0.519,0.519
