valence,arousal
-0.002,0.0
-0.002,0.0
-0.002,0.0
-0.002,0.0
-0.002,0.0
-0.002,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.012,0.012
0.012,0.012
0.012,0.012
0.012,0.012
0.012,0.012
0.012,0.036
0.012,0.04
0.012,0.052
0.012,0.067
0.012,0.067
0.012,0.067
0.036,0.067
0.036,0.067
0.052,0.067
0.052,0.067
0.052,0.067
0.052,0.067
0.052,0.067
0.052,0.067
0.052,0.067
0.052,0.067
0.052,0.067
0.052,0.067
0.052,0.067
0.052,0.067
0.052,0.067
0.052,0.067
0.052,0.067
0.052,0.067
0.052,0.067
0.052,0.067
0.052,0.083
0.052,0.107
0.052,0.107
0.052,0.107
0.052,0.123
0.052,0.123
0.052,0.123
0.052,0.123
0.052,0.123
0.052,0.123
0.052,0.123
0.052,0.123
0.052,0.123
0.052,0.083
0.052,0.079
0.052,0.067
0.052,0.067
0.052,0.067
0.052,0.067
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.052
0.052,0.06
0.052,0.083
0.052,0.083
0.052,0.083
0.052,0.083
0.052,0.083
0.052,0.083
0.052,0.083
0.052,0.083
0.052,0.083
0.052,0.083
0.052,0.083
0.056,0.083
0.115,0.194
0.138,0.241
0.17,0.296
0.194,0.318
0.241,0.351
0.265,0.367
0.3,0.367
0.318,0.383
0.312,0.407
0.312,0.407
0.312,0.395
0.312,0.407
0.312,0.395
0.312,0.401
0.312,0.401
0.312,0.407
0.312,0.383
0.312,0.383
0.324,0.351
0.312,0.312
0.221,0.209
0.158,0.17
0.123,0.154
0.123,0.154
0.107,0.138
0.083,0.138
0.083,0.123
0.083,0.123
0.067,0.115
0.067,0.107
0.067,0.089
0.067,0.083
0.067,0.083
0.067,0.083
0.067,0.083
0.067,0.083
0.067,0.083
0.067,0.083
0.067,0.083
0.067,0.083
0.067,0.095
0.067,0.083
0.067,0.083
0.067,0.154
0.067,0.17
0.067,0.17
0.087,0.17
0.123,0.17
0.123,0.17
0.123,0.138
0.138,0.123
0.138,0.107
0.138,0.107
0.138,0.083
0.138,0.083
0.138,0.083
0.138,0.095
0.138,0.083
0.138,0.083
0.107,0.083
0.107,0.083
0.107,0.083
0.083,0.083
0.089,0.083
0.089,0.083
0.083,0.083
0.083,0.083
0.083,0.083
0.083,0.067
0.083,0.067
0.083,0.067
0.083,0.067
0.083,0.067
0.083,0.067
0.083,0.067
0.089,0.067
0.083,0.052
0.083,0.052
0.083,0.052
0.083,0.052
0.083,0.036
0.083,0.036
0.083,0.036
0.083,0.036
0.083,0.012
0.089,0.0
0.083,0.0
0.083,0.0
0.083,0.0
0.083,0.0
0.083,0.0
0.083,0.0
0.083,0.0
0.083,0.0
0.089,0.0
0.083,0.0
0.083,0.0
0.083,0.0
0.083,0.0
0.083,0.0
0.083,0.0
0.083,0.0
0.083,-0.002
0.083,-0.002
0.083,-0.018
0.083,-0.018
0.083,0.0
0.083,0.0
0.083,-0.034
0.083,-0.034
0.083,-0.034
0.083,-0.034
0.083,-0.034
0.083,-0.034
0.083,0.0
0.083,0.0
0.083,0.0
0.083,0.0
0.083,0.0
0.083,0.0
0.083,0.0
0.083,0.0
0.083,0.0
0.083,-0.002
0.083,-0.018
0.083,-0.034
0.089,-0.034
0.083,-0.05
0.083,-0.05
0.083,-0.05
0.083,-0.066
0.089,-0.082
0.083,-0.082
0.083,-0.097
0.083,-0.121
0.089,-0.121
0.083,-0.121
0.083,-0.121
0.083,-0.121
0.083,-0.121
0.083,-0.121
0.083,-0.121
0.083,-0.121
0.083,-0.109
0.083,-0.121
0.089,-0.121
0.083,-0.121
0.083,-0.121
0.083,-0.082
0.083,-0.066
0.083,-0.066
0.083,-0.066
0.083,-0.066
0.083,-0.066
0.089,-0.05
0.083,-0.05
0.083,-0.034
0.083,-0.002
0.067,0.0
0.067,0.0
