valence,arousal
-0.455,0.109
-0.455,0.109
-0.455,0.113
-0.455,0.125
-0.455,0.125
-0.455,0.125
-0.455,0.125
-0.455,0.125
-0.455,0.125
-0.455,0.125
-0.455,0.125
-0.455,0.125
-0.455,0.125
-0.455,0.125
-0.455,0.125
-0.455,0.125
-0.455,0.125
-0.455,0.125
-0.455,0.125
-0.455,0.125
-0.455,0.125
-0.455,0.125
-0.455,0.125
-0.455,0.125
-0.455,0.125
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.455,0.148
-0.424,0.148
-0.408,0.148
-0.392,0.148
-0.392,0.148
-0.384,0.148
-0.36,0.148
-0.345,0.148
-0.345,0.148
-0.329,0.148
-0.329,0.148
-0.329,0.148
-0.329,0.148
-0.329,0.148
-0.329,0.148
-0.329,0.148
-0.329,0.148
-0.376,0.148
-0.384,0.148
-0.392,0.148
-0.42,0.148
-0.424,0.148
-0.455,0.148
-0.455,0.148
-0.471,0.148
-0.487,0.148
-0.487,0.148
-0.487,0.148
-0.487,0.148
-0.487,0.148
-0.487,0.125
-0.487,0.109
-0.503,0.109
-0.503,0.109
-0.507,0.109
-0.519,0.109
-0.519,0.109
-0.519,0.109
-0.519,0.109
-0.519,0.109
-0.519,0.109
-0.519,0.109
-0.519,0.109
-0.519,0.109
-0.519,0.109
-0.519,0.109
-0.519,0.109
-0.519,0.109
-0.495,0.109
-0.487,0.109
-0.479,0.109
-0.471,0.109
-0.451,0.109
-0.408,0.109
-0.349,0.109
-0.262,0.109
-0.135,0.109
-0.135,0.109
-0.103,0.109
-0.076,0.109
-0.076,0.109
-0.076,0.142
-0.076,0.148
-0.06,0.148
-0.06,0.18
-0.06,0.18
-0.008,0.18
0.0,0.18
0.0,0.18
0.0,0.18
0.0,0.18
0.0,0.18
0.0,0.192
0.0,0.18
0.0,0.18
0.0,0.18
0.0,0.18
0.0,0.18
0.0,0.18
0.0,0.18
0.0,0.18
0.0,0.186
0.0,0.18
0.0,0.18
0.0,0.18
0.0,0.18
0.0,0.18
0.0,0.18
0.0,0.18
0.004,0.18
0.022,0.18
0.038,0.186
0.054,0.18
0.054,0.192
0.054,0.18
0.054,0.18
0.054,0.18
0.054,0.18
0.054,0.18
0.054,0.18
0.054,0.18
0.054,0.18
0.054,0.18
0.054,0.18
0.054,0.18
0.054,0.18
0.054,0.18
0.054,0.148
0.054,0.142
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.131
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.054,0.125
0.06,0.125
0.065,0.125
0.077,0.125
0.077,0.125
0.077,0.125
0.077,0.125
0.077,0.125
0.093,0.125
0.093,0.125
0.093,0.125
0.093,0.125
0.093,0.125
0.093,0.125
0.093,0.125
0.093,0.125
0.093,0.125
0.093,0.125
0.093,0.125
0.093,0.125
0.093,0.125
0.093,0.125
0.093,0.125
0.093,0.125
0.093,0.125
0.038,0.125
0.022,0.131
0.022,0.125
0.022,0.125
0.022,0.125
0.022,0.125
0.022,0.093
0.022,0.093
0.022,0.077
0.022,0.077
0.022,0.077
0.022,0.077
0.022,0.077
0.022,0.077
0.022,0.077
0.022,0.077
0.022,0.077
0.022,0.077
0.022,0.077
0.022,0.077
0.022,0.077
0.022,0.077
0.022,0.077
0.022,0.077
0.022,0.077
0.022,0.077
0.022,0.077
0.022,0.077
0.022,0.077
0.022,0.077
0.022,0.077
0.022,0.077
0.022,0.077
0.01,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
0.0,0.077
-0.016,0.077
-0.032,0.077
-0.06,0.077
-0.06,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.091,0.077
-0.091,0.077
-0.091,0.077
-0.091,0.077
-0.119,0.077
-0.123,0.077
-0.139,0.077
-0.139,0.077
-0.139,0.077
-0.139,0.077
-0.139,0.077
-0.139,0.077
-0.139,0.077
-0.139,0.077
-0.139,0.077
-0.139,0.077
-0.139,0.077
-0.139,0.077
-0.139,0.077
-0.139,0.077
-0.139,0.077
-0.139,0.077
-0.139,0.077
-0.139,0.077
-0.139,0.077
-0.139,0.077
-0.139,0.077
-0.107,0.077
-0.091,0.077
-0.091,0.077
-0.091,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.076,0.077
-0.06,0.077
-0.06,0.077
-0.06,0.077
-0.06,0.077
-0.06,0.077
-0.06,0.077
-0.06,0.077
-0.06,0.077
-0.06,0.077
-0.06,0.077
-0.06,0.077
-0.06,0.077
-0.06,0.077
-0.06,0.077
-0.06,0.077
-0.06,0.093
-0.06,0.093
-0.06,0.093
-0.06,0.093
-0.06,0.097
-0.06,0.109
-0.06,0.109
-0.06,0.109
-0.06,0.109
-0.06,0.109
-0.06,0.109
-0.06,0.109
-0.06,0.109
-0.06,0.109
-0.06,0.109
-0.06,0.109
-0.06,0.109
-0.06,0.109
-0.06,0.109
-0.044,0.109
-0.044,0.109
-0.044,0.109
-0.044,0.109
-0.044,0.109
-0.044,0.109
-0.044,0.109
-0.044,0.109
-0.044,0.109
-0.044,0.109
-0.044,0.109
-0.044,0.109
-0.044,0.109
-0.076,0.109
-0.076,0.125
-0.076,0.125
-0.083,0.125
-0.091,0.125
-0.091,0.131
-0.107,0.125
-0.123,0.125
-0.123,0.125
-0.123,0.125
-0.123,0.125
-0.123,0.125
-0.123,0.125
-0.123,0.125
-0.123,0.125
-0.123,0.125
-0.123,0.125
-0.123,0.125
-0.123,0.125
-0.123,0.125
-0.123,0.125
-0.123,0.125
-0.076,0.125
-0.076,0.125
-0.076,0.125
-0.076,0.125
-0.076,0.125
-0.076,0.125
-0.076,0.125
-0.076,0.125
-0.076,0.125
-0.107,0.125
-0.123,0.125
-0.131,0.125
-0.143,0.125
-0.155,0.125
-0.171,0.125
-0.174,0.125
-0.186,0.125
