valence,arousal
-1.0,-0.317
-1.0,-0.317
-1.0,-0.317
-1.0,-0.317
-1.0,-0.318
-1.0,-0.319
-1.0,-0.32
-1.0,-0.32
-1.0,-0.32
-1.0,-0.32
-1.0,-0.32
-1.0,-0.318
-1.0,-0.318
-1.0,-0.318
-1.0,-0.318
-1.0,-0.319
-1.0,-0.319
-1.0,-0.32
-1.0,-0.32
-1.0,-0.32
-1.0,-0.321
-1.0,-0.322
-1.0,-0.329
-1.0,-0.33
-1.0,-0.33
-1.0,-0.33
-1.0,-0.33
-1.0,-0.33
-1.0,-0.33
-1.0,-0.33
-1.0,-0.33
-1.0,-0.33
-1.0,-0.33
-1.0,-0.33
-1.0,-0.33
-1.0,-0.33
-1.0,-0.331
-1.0,-0.33
-1.0,-0.33
-1.0,-0.33
-1.0,-0.33
-1.0,-0.33
-1.0,-0.33
-1.0,-0.33
-1.0,-0.33
-1.0,-0.33
-1.0,-0.33
-1.0,-0.33
-1.0,-0.33
-1.0,-0.333
-1.0,-0.335
-1.0,-0.335
-1.0,-0.335
-1.0,-0.334
-1.0,-0.334
-1.0,-0.334
-1.0,-0.335
-1.0,-0.334
-1.0,-0.334
-1.0,-0.335
-1.0,-0.336
-1.0,-0.336
-1.0,-0.34
-1.0,-0.342
-1.0,-0.348
-1.0,-0.357
-1.0,-0.37
-1.0,-0.37
-1.0,-0.369
-1.0,-0.365
-1.0,-0.358
-1.0,-0.355
-1.0,-0.346
-1.0,-0.345
-1.0,-0.345
-1.0,-0.344
-1.0,-0.344
-1.0,-0.344
-1.0,-0.344
-1.0,-0.344
-1.0,-0.343
-1.0,-0.343
-1.0,-0.343
-1.0,-0.343
-1.0,-0.343
-1.0,-0.342
-1.0,-0.34
-1.0,-0.336
-1.0,-0.335
-1.0,-0.333
-1.0,-0.333
-1.0,-0.332
-1.0,-0.33
-1.0,-0.329
-1.0,-0.328
-1.0,-0.327
-1.0,-0.327
-1.0,-0.327
-1.0,-0.326
-1.0,-0.326
-1.0,-0.326
-1.0,-0.326
-1.0,-0.326
-1.0,-0.327
-1.0,-0.331
-1.0,-0.333
-1.0,-0.333
-1.0,-0.334
-1.0,-0.334
-1.0,-0.335
-1.0,-0.335
-1.0,-0.335
-1.0,-0.337
-1.0,-0.34
-1.0,-0.343
-1.0,-0.348
-1.0,-0.356
-1.0,-0.374
-1.0,-0.38
-1.0,-0.382
-1.0,-0.389
-1.0,-0.392
-1.0,-0.397
-1.0,-0.404
-1.0,-0.405
-1.0,-0.407
-1.0,-0.408
-1.0,-0.412
-1.0,-0.416
-1.0,-0.421
-1.0,-0.434
-1.0,-0.441
-1.0,-0.442
-1.0,-0.447
-1.0,-0.444
-1.0,-0.444
-1.0,-0.442
-1.0,-0.443
-1.0,-0.444
-1.0,-0.444
-1.0,-0.445
-1.0,-0.446
-1.0,-0.445
-1.0,-0.445
-1.0,-0.443
-1.0,-0.438
-1.0,-0.433
-1.0,-0.426
-1.0,-0.424
-1.0,-0.423
-0.994,-0.422
-0.991,-0.422
-0.983,-0.422
-0.98,-0.422
-0.969,-0.421
-0.963,-0.42
-0.96,-0.419
-0.959,-0.419
-0.957,-0.419
-0.956,-0.42
-0.955,-0.422
-0.957,-0.426
-0.957,-0.427
-0.957,-0.428
-0.958,-0.428
-0.957,-0.428
-0.958,-0.429
-0.958,-0.438
-0.958,-0.441
-0.958,-0.445
-0.958,-0.447
-0.958,-0.45
-0.958,-0.446
-0.958,-0.445
-0.958,-0.44
-0.958,-0.437
-0.958,-0.435
-0.958,-0.432
-0.958,-0.432
-0.958,-0.432
-0.958,-0.432
-0.957,-0.432
-0.956,-0.432
-0.937,-0.432
-0.931,-0.432
-0.917,-0.43
-0.9,-0.431
-0.892,-0.43
-0.882,-0.427
-0.877,-0.428
-0.878,-0.426
-0.88,-0.426
-0.88,-0.425
-0.88,-0.422
-0.881,-0.422
-0.881,-0.42
-0.883,-0.419
-0.882,-0.414
-0.883,-0.413
-0.883,-0.411
-0.882,-0.411
-0.882,-0.406
-0.883,-0.341
-0.883,-0.089
-0.883,-0.043
-0.883,-0.033
-0.884,-0.03
-0.884,-0.036
-0.884,-0.039
-0.884,-0.042
-0.884,-0.041
-0.885,-0.038
-0.884,0.0
-0.884,0.018
-0.884,0.064
-0.885,0.075
-0.886,0.083
-0.888,0.088
-0.889,0.088
-0.896,0.087
-0.9,0.087
-0.901,0.087
-0.902,0.087
-0.907,0.095
-0.908,0.095
-0.908,0.094
-0.908,0.092
-0.858,0.089
-0.822,0.09
-0.756,0.09
-0.751,0.089
-0.751,0.089
-0.751,0.09
-0.75,0.091
-0.751,0.091
-0.752,0.091
-0.752,0.09
-0.753,0.084
-0.754,0.063
-0.753,0.061
-0.753,0.06
-0.753,0.043
-0.715,0.025
-0.7,0.027
-0.658,0.034
-0.642,0.045
-0.644,0.047
-0.647,0.047
-0.649,0.047
-0.655,0.047
-0.657,0.048
-0.663,0.051
-0.669,0.051
-0.706,0.041
-0.75,-0.057
-0.756,-0.126
-0.767,-0.142
-0.77,-0.149
-0.77,-0.154
-0.771,-0.149
-0.773,-0.143
-0.775,-0.142
-0.776,-0.137
-0.776,-0.127
-0.776,-0.126
-0.775,-0.105
-0.773,-0.093
-0.77,-0.086
-0.766,-0.064
-0.762,-0.011
-0.758,0.058
-0.757,0.1
-0.757,0.106
-0.757,0.109
-0.757,0.111
-0.732,0.112
-0.694,0.118
-0.645,0.144
-0.639,0.178
-0.628,0.192
-0.623,0.195
-0.618,0.195
-0.601,0.191
-0.584,0.188
-0.531,0.164
-0.51,0.163
-0.473,0.163
-0.459,0.161
-0.459,0.156
-0.459,0.131
-0.46,0.119
-0.459,0.115
-0.46,0.113
-0.459,0.094
-0.459,0.087
-0.46,0.085
-0.46,0.082
-0.459,0.078
-0.459,0.075
-0.459,0.062
-0.459,0.057
-0.459,0.052
-0.455,0.045
-0.447,0.043
-0.41,0.043
-0.406,0.044
-0.396,0.045
-0.391,0.045
-0.39,0.045
-0.389,0.045
-0.389,0.045
-0.383,0.045
-0.378,0.045
-0.376,0.045
-0.37,0.047
-0.363,0.046
-0.355,0.046
-0.332,0.046
-0.326,0.047
-0.314,0.046
-0.312,0.046
-0.312,0.047
-0.312,0.049
-0.312,0.049
-0.312,0.049
-0.312,0.049
-0.311,0.049
-0.311,0.049
-0.311,0.049
-0.311,0.049
-0.311,0.047
-0.314,0.046
-0.31,0.046
-0.308,0.046
-0.308,0.046
-0.308,0.045
-0.308,0.048
-0.314,0.05
-0.316,0.051
-0.329,0.053
-0.333,0.053
-0.335,0.053
-0.335,0.053
-0.335,0.053
-0.335,0.05
-0.335,0.047
-0.335,0.028
-0.335,0.0
-0.337,-0.013
-0.346,-0.045
-0.346,-0.063
-0.345,-0.098
-0.343,-0.126
-0.342,-0.129
-0.342,-0.126
-0.342,-0.125
-0.342,-0.125
-0.336,-0.126
-0.331,-0.127
-0.31,-0.149
-0.295,-0.165
-0.281,-0.201
-0.276,-0.228
-0.27,-0.241
-0.271,-0.26
-0.271,-0.264
-0.271,-0.266
-0.271,-0.273
-0.271,-0.281
-0.271,-0.295
-0.271,-0.303
-0.27,-0.327
-0.265,-0.375
-0.262,-0.389
-0.257,-0.414
-0.253,-0.422
-0.252,-0.425
-0.252,-0.434
-0.252,-0.442
-0.253,-0.461
-0.252,-0.48
-0.252,-0.493
-0.253,-0.496
-0.252,-0.492
-0.253,-0.491
-0.255,-0.491
-0.261,-0.491
-0.265,-0.493
-0.266,-0.516
-0.269,-0.536
-0.271,-0.54
-0.273,-0.547
-0.274,-0.555
-0.276,-0.557
-0.276,-0.57
-0.277,-0.579
-0.277,-0.595
-0.277,-0.606
-0.277,-0.614
-0.277,-0.626
-0.277,-0.629
-0.277,-0.63
-0.277,-0.635
-0.277,-0.64
-0.277,-0.654
-0.278,-0.657
-0.278,-0.658
-0.278,-0.657
-0.278,-0.657
-0.278,-0.651
-0.278,-0.648
-0.278,-0.643
-0.278,-0.643
-0.278,-0.64
-0.279,-0.638
-0.282,-0.638
-0.284,-0.637
-0.284,-0.637
-0.284,-0.637
-0.284,-0.638
-0.284,-0.637
-0.284,-0.637
-0.284,-0.637
-0.284,-0.637
-0.284,-0.637
-0.284,-0.637
-0.284,-0.637
-0.284,-0.637
-0.284,-0.637
-0.285,-0.637
-0.284,-0.637
-0.284,-0.637
-0.285,-0.637
-0.284,-0.637
-0.284,-0.637
-0.284,-0.637
-0.284,-0.637
-0.285,-0.637
-0.284,-0.637
-0.284,-0.637
-0.284,-0.637
-0.284,-0.637
-0.327,-0.637
-0.331,-0.637
-0.329,-0.637
-0.327,-0.637
-0.323,-0.637
-0.322,-0.637
-0.321,-0.637
-0.323,-0.637
-0.326,-0.637
-0.327,-0.637
-0.33,-0.637
-0.342,-0.637
-0.352,-0.637
-0.353,-0.637
-0.353,-0.637
-0.363,-0.637
-0.453,-0.637
